Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,1,Molex 53047-0210,
"C1, C2, C3, C4",CP_Radial_D6.3mm_P2.50mm,4,100u,
"C10, C11, C12, C17, C21, C24, C28, C30, C31, C6, C7, C8, C9",0603,13,100n,
"C13, C14, C15, C16",0603,4,6.8p,
"C18, C19, C20, C27, C29, C32, C5",0603,7,1u,
"C22, C23",0603,2,2.2u,
"C25, C26",1206,2,22u,
"D1, D17, D18, D19, D20, D4",0603,6,LED,
"D10, D9",LED_RGB_5050-6,2,LED_RGB,
"D11, D16, D3, D6, D7",D_SOD-323_HandSoldering,5,D_Zener,
"D12, D13, D14, D15, D2, D5",D_SOD-123F,6,D_Schottky,
D8,SOT-23W,1,PESD2USB3UV,
F1,Fuseholder_Blade_Mini_Keystone_3568,1,Fuse,
"J1, J3, J4",Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal_VerticalCompatible,3,Conn_01x02,
J2,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal_VerticalCompatible,1,Molex 43045-0400,
J5,FTSH-105-XX-YYY-DV-K-A,1,FTSH-105-01-L-DV-K-A,
J6,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"J7, J8",Molex_Micro-Fit_3.0_43650-0500_1x05_P3.00mm_Horizontal_VerticalCompatible,2,Molex 43650-0500,
J9,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09,
"K1, K2",Relay_SPST_SANYOU_SRD_Series_Form_A,2,SANYOU_SRD_Form_A,
L1,0603,1,L_Ferrite,
L2,L_Abracon_ASPI-4030S,1,8.2u,
"Q1, Q2, Q3",SOT-23,3,AO3400A,
"R1, R11, R13, R15, R16, R17, R18, R19, R20, R28, R5, R9",0603,12,5.1k,
"R10, R34, R36, R37, R4",0603,5,470,
"R12, R14, R27, R29, R31, R32, R8",0603,7,100k,
R2,0603,1,10k,
"R21, R22, R24, R25",0603,4,50,
"R23, R26, R35, R39",0603,4,120,
R3,0603,1,1k,
R30,0603,1,12.7k,
R33,0603,1,2.2k,
R38,2512,1,33,
"R6, R7",1206,2,2m,
"S1, S5",SLW8645872ARAND,2,SLW-864587-2A-RA-N-D,
"S2, S3, S4",RKB2SJM250SMTRLFS,3,RKB2SJM250SMTR_LFS,
"U1, U2",SOT-23-6_Handsoldering,2,INA181A2,
U3,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBTx,
U4,SOT-23-6_Handsoldering,1,TPS54302,
U5,SOT95P280X145-5N,1,TLV74033PDBVR,
U6,Toshiba_SOIC-4-6_4.4x3.6mm_P1.27mm,1,TLP175A,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,
Y1,Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal,1,32.768 kHz 6pF,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
