Designator,Mid X,Mid Y,Rotation,Layer
BT1,66.680219,-63.347219,90.0,top
C1,170.75,-60.0,90.0,top
C10,153.0875,-79.0,180.0,top
C11,68.2,-87.2,90.0,top
C12,64.25,-87.2,90.0,top
C13,66.75,-70.5,0.0,top
C14,77.475219,-64.097219,90.0,top
C15,66.75,-76.5,180.0,top
C16,71.975219,-64.097219,90.0,top
C17,70.0,-71.25,270.0,top
C18,76.0,-69.75,180.0,top
C19,70.0,-67.75,90.0,top
C2,179.0,-60.0,90.0,top
C20,73.5,-69.5,90.0,top
C21,241.25,-73.5875,270.0,top
C22,240.5,-66.3375,270.0,top
C23,238.75,-66.3375,270.0,top
C24,233.0,-62.5875,270.0,top
C25,228.0,-67.0875,90.0,top
C26,230.52,-67.0875,90.0,top
C27,112.0,-58.75,90.0,top
C28,105.5875,-65.0,180.0,top
C29,106.0,-57.8,90.0,top
C3,187.25,-60.0,90.0,top
C30,127.5,-86.3875,90.0,top
C31,131.0,-80.25,0.0,top
C32,131.0,-78.5,0.0,top
C4,195.5,-60.0,90.0,top
C5,90.5,-77.9125,270.0,top
C6,230.5,-85.75,270.0,top
C7,154.0,-87.25,90.0,top
C8,244.925,-84.08,90.0,top
C9,140.5875,-86.25,180.0,top
D1,148.0,-58.350001,270.0,top
D10,117.75,-63.5,270.0,top
D11,224.25,-68.5875,0.0,top
D12,247.0,-70.75,0.0,top
D13,124.0,-62.25,0.0,top
D14,98.5,-62.25,180.0,top
D15,213.75,-77.5,270.0,top
D2,154.75,-60.600001,270.0,top
D3,215.7375,-72.875,90.0,top
D4,208.9875,-70.625,90.0,top
D5,99.0,-87.0,270.0,top
D6,78.25,-97.5,180.0,top
D7,78.25,-105.25,180.0,top
D8,244.5,-65.5875,0.0,top
D9,115.25,-63.5,270.0,top
F1,233.05,-101.46,270.0,top
J1,244.5,-103.085,180.0,top
J2,215.75,-100.865,180.0,top
J3,181.0,-103.085,180.0,top
J4,192.0,-103.085,180.0,top
J5,113.595,-103.0,180.0,top
J6,99.5,-105.75,0.0,top
J7,90.805,-53.975,270.0,top
J8,165.25,-103.070587,180.0,top
J9,145.25,-103.070587,180.0,top
K1,170.575,-75.575,270.0,top
K2,187.575,-75.575,270.0,top
L1,71.75,-69.5,270.0,top
L2,234.25,-69.8375,180.0,top
Q1,213.2625,-87.25,180.0,top
Q2,151.25,-62.100001,180.0,top
Q3,212.4875,-69.125,0.0,top
R1,210.075,-87.3,270.0,top
R10,213.7375,-72.9625,90.0,top
R11,215.7375,-69.125,90.0,top
R12,144.0875,-88.0,180.0,top
R13,140.5875,-88.0,180.0,top
R14,156.5875,-80.75,180.0,top
R15,153.0875,-80.75,180.0,top
R16,62.5,-87.2,90.0,top
R17,66.4,-87.2,270.0,top
R18,70.0,-87.2,270.0,top
R19,95.25,-88.25,0.0,top
R2,94.0,-77.9125,270.0,top
R20,102.75,-88.25,180.0,top
R21,80.0,-87.5,270.0,top
R22,81.8,-87.5,270.0,top
R23,83.6,-87.5,270.0,top
R24,85.7,-87.4125,270.0,top
R25,87.5,-87.4125,270.0,top
R26,89.3,-87.4125,270.0,top
R27,243.0,-70.0875,270.0,top
R28,243.0,-73.5875,270.0,top
R29,236.0,-60.3375,0.0,top
R3,92.25,-77.9125,270.0,top
R30,238.75,-61.5875,270.0,top
R31,109.0875,-66.75,180.0,top
R32,105.5725,-66.75,180.0,top
R33,247.0,-69.0,0.0,top
R34,124.0,-60.5,0.0,top
R35,98.5,-60.5,180.0,top
R36,211.0,-76.25,180.0,top
R37,211.0,-78.73,180.0,top
R38,202.7375,-70.75,90.0,top
R39,131.5,-99.5,180.0,top
R4,150.0,-58.350001,270.0,top
R5,148.0,-62.100001,270.0,top
R6,236.25,-86.5,90.0,top
R7,148.25,-86.5,270.0,top
R8,243.175,-87.58,90.0,top
R9,243.175,-84.08,90.0,top
S1,204.0,-103.0,0.0,top
S2,63.5,-97.0,180.0,top
S3,63.5,-101.5,180.0,top
S4,63.5,-106.0,180.0,top
S5,128.5,-103.0,0.0,top
U1,233.25,-86.5,270.0,top
U2,151.25,-86.5,90.0,top
U3,84.0,-71.5,270.0,top
U4,235.7375,-64.0525,270.0,top
U5,109.0,-57.8,180.0,top
U6,204.8375,-77.48,180.0,top
U7,131.0,-85.0,180.0,top
Y1,74.725219,-64.852219,180.0,top
Y2,66.75,-73.5,270.0,top
